	T(a.u.)	X(a.u.)	Y(a.u.)	Z(a.u.)	Vx(a.u.)	Vy(a.u.)	Vz(a.u.)
2644	26.448816272090696	-115.53359321597192	-115.62936355793991	-114.91638549879825	-0.6364996087106046	-0.6374756335311345	-0.6326521029454806
2645	26.45881960653551	-115.57368479541282	-115.66951661483672	-114.95623473310505	-0.6364957817135871	-0.6374719071436817	-0.6326482872383224
2646	26.468822940980328	-115.6137761338004	-115.70966943701735	-114.99608372706965	-0.6364919573722205	-0.6374681833614045	-0.6326444742096653
2647	26.478826275425142	-115.6538672313019	-115.7498220246459	-115.03593248086072	-0.6364881356839434	-0.6374644621813307	-0.6326406638567591
2648	26.48882960986996	-115.69395808808446	-115.78997437788625	-115.07578099464685	-0.636484316646196	-0.6374607436004912	-0.6326368561768535
2649	26.49883294431477	-115.73404870431499	-115.83012649690212	-115.11562926859634	-0.6364805002564204	-0.6374570276159203	-0.6326330511671981
2650	26.508836278759585	-115.77413908016031	-115.87027838185708	-115.15547730287744	-0.6364766865120602	-0.6374533142246551	-0.6326292488250423
2651	26.518839613204403	-115.81422921578707	-115.91043003291446	-115.19532509765817	-0.6364728754105605	-0.6374496034237361	-0.6326254491476352
2652	26.528842947649217	-115.85431911136169	-115.95058145023741	-115.23517265310635	-0.6364690669493681	-0.6374458952102069	-0.6326216521322257
2653	26.53884628209403	-115.8944087670505	-115.9907326339889	-115.27501996938965	-0.6364652611259314	-0.6374421895811141	-0.6326178577760626
2654	26.548849616538845	-115.93449818301966	-116.03088358433173	-115.31486704667559	-0.6364614579377003	-0.6374384865335078	-0.6326140660763948
2655	26.55885295098366	-115.97458735943513	-116.0710343014285	-115.35471388513149	-0.6364576573821262	-0.637434786064441	-0.6326102770304708
2656	26.568856285428478	-116.01467629646277	-116.11118478544164	-115.39456048492451	-0.6364538594566624	-0.6374310881709704	-0.6326064906355391
2657	26.578859619873292	-116.0547649942682	-116.15133503653334	-115.4344068462216	-0.6364500641587634	-0.6374273928501556	-0.6326027068888482
2658	26.588862954318103	-116.09485345301692	-116.19148505486567	-115.47425296918958	-0.6364462714858851	-0.6374237000990597	-0.6325989257876466
2659	26.59886628876292	-116.13494167287433	-116.2316348406005	-115.51409885399512	-0.6364424814354851	-0.6374200099147491	-0.6325951473291828
2660	26.608869623207735	-116.17502965400557	-116.27178439389951	-115.55394450080463	-0.6364386940050226	-0.6374163222942937	-0.632591371510705
2661	26.618872957652552	-116.21511739657569	-116.31193371492418	-115.59378990978443	-0.6364349091919581	-0.6374126372347665	-0.6325875983294619
2662	26.628876292097367	-116.25520490074953	-116.3520828038358	-115.6336350811006	-0.6364311269937536	-0.6374089547332442	-0.6325838277827018
2663	26.638879626542177	-116.29529216669178	-116.39223166079549	-115.6734800149191	-0.6364273474078727	-0.6374052747868068	-0.6325800598676735
2664	26.648882960986995	-116.33537919456704	-116.43238028596423	-115.7133247114057	-0.6364235704317801	-0.6374015973925375	-0.6325762945816256
2665	26.65888629543181	-116.37546598453964	-116.47252867950273	-115.753169170726	-0.6364197960629422	-0.6373979225475235	-0.6325725319218068
2666	26.668889629876627	-116.41555253677384	-116.5126768415716	-115.79301339304541	-0.6364160242988268	-0.6373942502488551	-0.6325687718854663
2667	26.67889296432144	-116.45563885143369	-116.5528247723312	-115.83285737852917	-0.636412255136903	-0.6373905804936262	-0.632565014469853
2668	26.688896298766252	-116.49572492868307	-116.59297247194174	-115.87270112734234	-0.6364084885746415	-0.6373869132789344	-0.6325612596722163
2669	26.69889963321107	-116.53581076868579	-116.63311994056326	-115.91254463964987	-0.6364047246095141	-0.6373832486018806	-0.6325575074898057
2670	26.708902967655884	-116.57589637160538	-116.67326717835557	-115.95238791561643	-0.6364009632389942	-0.6373795864595694	-0.6325537579198708
2671	26.7189063021007	-116.61598173760528	-116.71341418547836	-115.9922309554066	-0.6363972044605565	-0.6373759268491092	-0.6325500109596616
